MN1|The Root Sequence Mūlapariyāya Sutta|754.181224
MN10|The Establishing Of Mindfulness Discourse Satipaṭṭhāna Sutta|2478.08
MN101|At Devadaha Devadaha Sutta|2377.743673
MN102|Five & Three Pañcattaya Sutta|1004.982857
MN105|To Sunakkhatta Sunakkhatta Sutta|1158.661224
MN106|Conducive To The Imperturbable Āneñja-Sappāya Sutta|705.097143
MN107|To Gaṇaka Moggallāna Gaṇaka Moggallāna Sutta|915.748571
MN108|Moggallāna The Guardsman Gopaka Moggallāna Sutta|1209.6
MN109|The Great Full-Moon Night Discourse Mahā Puṇṇama Sutta|853.629388
MN11|The Shorter Lion's Roar Discourse Cūḷasīhanāda Sutta|827.585306
MN110|The Shorter Full-Moon Night Discourse Cūḷa Puṇṇama Sutta|596.68898
MN111|One After Another Anupada Sutta|697.913469
MN113|A Person Of Integrity Sappurisa Sutta|665.626122
MN117|The Great Forty Mahā Cattārīsaka Sutta|900.336327
MN118|Mindfulness Of Breathing Ānāpānasati Sutta|1069.453061
MN119|Mindfulness Immersed In The Body Kāyagatā-Sati Sutta|1504.365714
MN12|The Great Lion's Roar Discourse Mahāsīhanāda Sutta|2864.43102
MN121|The Shorter Discourse On Emptiness Cūḷa Suññata Sutta|839.47102
MN122|The Greater Discourse On Emptiness Mahā Suññata Sutta|1124.257959
MN123|Amazing & Astounding Qualities Acchariy'abbhūtadhamma Sutta|692.924082
MN125|The Level Of The Tamed Dantabhūmi Sutta|1633.515102
MN126|To Bhūmija Bhūmija Sutta|1046.987755
MN128|Defilements Upakkilesa Sutta|1238.987755
MN13|The Great Mass Of Stress Mahā Dukkhakkhandha Sutta|1064.359184
MN130|The Deva Messengers Devadūta Sutta|1191.314286
MN131|An Auspicious Day Bhaddekaratta Sutta|370.782041
MN135|The Shorter Analysis Of Action Cūḷa Kamma-Vibhaṅga Sutta|878.863673
MN136|The Greater Analysis Of Action Mahā Kamma-Vibhaṅga Sutta|1321.404082
MN137|An Analysis Of The Six Sense-Media Saḷāyatana-Vibhaṅga Sutta|961.671837
MN138|An Analysis Of The Statement Uddesa-Vibhaṅga Sutta|979.435102
MN14|The Lesser Mass Of Stress Cūḷa Dukkhakkhandha Sutta|932.414694
MN140|An Analysis Of The Properties Dhātu-Vibhaṅga Sutta|1436.708571
MN141|An Analysis Of The Truths Sacca-Vibhaṅga Sutta|749.818776
MN143|The Exhortation To Anāthapiṇḍika Anāthapiṇḍikovāda Sutta|733.910204
MN146|Nandaka's Exhortation Nandakovāda Sutta|943.177143
MN147|The Shorter Exhortation To Rāhula Cūḷa Rāhulovāda Sutta|511.503673
MN148|The Six Sextets Chachakka Sutta|1193.613061
MN149|The Great Six Sense-Media Discourse Mahā Saḷāyatanika Sutta|614.582857
MN151|The Purification Of Almsfood Piṇḍapātapārisuddhi Sutta|481.227755
MN152|The Development Of The Faculties Indriya-Bhāvanā Sutta|850.755918
MN18|The Ball Of Honey Madhupiṇḍika Sutta|862.014694
MN19|Two Sorts Of Thinking Dvedhāvitakka Sutta|990.275918
MN2|All The Effluents Sabbāsava Sutta|820.58449
MN20|The Relaxation Of Thoughts Vitakkasaṇṭhāna Sutta|532.323265
MN21|The Simile Of The Saw Kakacūpama Sutta|1267.226122
MN22|The Water-Snake Simile Alagaddūpama Sutta|2068.166531
MN24|Relay Chariots Ratha-Vinīta Sutta|904.829388
MN25|Poison-Grass Nivāpa Sutta|1314.115918
MN26|The Noble Search Ariyapariyesana Sutta|2185.273469
MN27|The Shorter Elephant Footprint Simile Cūḷa Hatthipadopama Sutta|1467.637551
MN28|The Great Elephant Footprint Simile Mahā Hatthipadopama Sutta|1514.318367
MN29|The Longer Heartwood Simile Discourse Mahā Sāropama Sutta|1221.198367
MN30|The Shorter Heartwood Simile Discourse Cūḷa Sāropama Sutta|1222.034286
MN31|The Shorter Gosiṅga Sāla-Tree Discourse Cūḷagosiṅgasāla Sutta|1012.140408
MN33|The Greater Cowherd Discourse Mahā Gopālaka Sutta|751.699592
MN35|The Shorter Discourse To Saccaka Cūḷa Saccaka Sutta|1499.715918
MN36|The Longer Discourse To Saccaka Mahā Saccaka Sutta|2227.2
MN38|The Greater Craving-Destruction Discourse Mahā Taṇhāsaṅkhaya Sutta|2254.680816
MN39|The Greater Discourse At Assapura Mahā Assapura Sutta|1709.479184
MN4|Fear & Terror Bhaya-Bherava Sutta|898.795102
MN40|The Shorter Discourse At Assapura Cūḷa-Assapura Sutta|654.471837
MN41|(Brahmans) Of Sāla Sāleyyaka Sutta|1067.859592
MN43|The Greater Set Of Questions & Answers Mahā Vedalla Sutta|1199.647347
MN44|The Shorter Set Of Questions & Answers Cūḷa Vedalla Sutta|936.96
MN45|The Shorter Discourse On Taking On Practices Cūḷa Dhammasamādāna Sutta|668.212245
MN48|In Kosambī Kosambiyā Sutta|823.196735
MN49|The Brahmā Invitation Brahma-Nimantanika Sutta|1011.356735
MN5|Unblemished Anaṅgaṇa Sutta|1229.426939
MN51|To Kandaraka Kandaraka Sutta|1627.559184
MN52|To The Man From Aṭṭhakanagara Aṭṭhakanāgara Sutta|423.862857
MN53|The Practice For One In Training Sekha-Paṭipadā Sutta|1009.266939
MN54|To Potaliya (Excerpt) Potaliya Sutta|646.4
MN55|To Jīvaka Jīvaka Sutta|507.297959
MN56|The Teaching To Upāli Upālivāda Sutta|2324.532245
MN58|To Prince Abhaya Abhaya Rāja-Kumāra Sutta|522.057143
MN59|Many Things To Be Felt Bahuvedanīya Sutta|643.526531
MN6|If One Would Wish Ākaṅkheyya Sutta|671.059592
MN60|A Safe Bet Apaṇṇaka Sutta|3134.563265
MN61|The Exhortation To Rāhula At Mango Stone Ambalaṭṭhikā Rāhulovāda Sutta|669.805714
MN62|The Greater Exhortation To Rāhula Mahā Rāhulovāda Sutta|938.657959
MN63|The Shorter Exhortation To Māluṅkya Cūḷa Māluṅkyovāda Sutta|689.423673
MN64|The Longer Exhortation To Māluṅkya Mahā Māluṅkyovāda Sutta|677.537959
MN66|The Quail Simile Laḍukikopama Sutta|1462.204082
MN67|Near Cātumā Cātuma Sutta|913.502041
MN69|About Golissāni Golissāni Sutta|626.233469
MN7|The Simile Of The Cloth Vatthūpama Sutta|640.888163
MN70|At Kīṭāgiri Kīṭāgiri Sutta|1074.782041
MN72|To Vacchagotta On Fire Aggi-Vacchagotta Sutta|612.937143
MN74|To Longnails Dīghanakha Sutta|607.111837
MN75|To Māgaṇḍiya Māgaṇḍiya Sutta|1700.571429
MN77|The Greater Discourse To Sakuludāyin Mahāsakuludāyi Sutta|2836.924082
MN78|Muṇḍika The Contemplative Samaṇa-Muṇḍika Sutta|863.764898
MN82|About Raṭṭhapāla Raṭṭhapāla Sutta|2051.63102
MN86|About Aṅgulimāla Aṅgulimāla Sutta|992.496327
MN87|From One Who Is Dear Piyajātika Sutta|789.159184
MN9|Right View Sammādiṭṭhi Sutta|2075.428571
MN90|At Kaṇṇakatthala Kaṇṇakatthala Sutta|943.124898
MN91|To Brahmāyu (Excerpt) Brahmāyu Sutta|399.777959
MN93|With Assalāyana Assalāyana Sutta|1386.579592
MN95|With Caṅkī Caṅkī Sutta|1809.81551
MN97|To Dhanañjānin Dhanañjānin Sutta|1011.957551
